START
P	rbrbrj
1480943,LINACC,0.14,0.06,-0.01
1480950,GYRO,-0.06,-0.13,-0.08
1480952,ROT,0.06,-0.00,-1.00,0.06
1480955,GAMEROT,0.07,-0.16,-0.98,0.05
1480961,STAB,1480964,ACCEL,1.15,-0.96,-9.88
1480966,MAGCAL,3.62,11.00,49.94
1480990,GYRO,0.00,-0.01,0.06
1480992,ROT,0.06,-0.00,-1.00,0.05
1480995,GAMEROT,0.06,-0.16,-0.98,0.05
1481001,ACCEL,1.23,-0.80,-9.77
1481003,GRAV,1.05,-1.07,-9.69
1481005,LINACC,0.17,0.27,-0.08
1481009,MAGCAL,2.44,10.19,49.19
1481014,STAB,1481026,ACCEL,1.19,-1.04,-9.61
1481030,GYRO,-0.01,-0.03,0.04
1481032,ROT,0.06,-0.00,-1.00,0.05
1481035,GAMEROT,0.06,-0.16,-0.98,0.05
1481041,MAGCAL,2.94,9.50,50.56
1481051,GRAV,1.03,-1.08,-9.70
1481053,LINACC,0.16,0.04,0.08
1481057,ACCEL,1.11,-1.11,-9.80
1481063,STAB,1481070,GYRO,-0.02,-0.05,0.02
1481072,ROT,0.06,-0.00,-1.00,0.05
1481075,GAMEROT,0.06,-0.16,-0.98,0.04
1481081,MAGCAL,2.81,10.56,49.13
1481089,ACCEL,1.15,-0.80,-9.80
1481101,GRAV,1.00,-1.08,-9.70
1481103,LINACC,0.15,0.27,-0.11
1481110,GYRO,0.02,-0.10,0.08
START
ibrj
1483135,GRAV,0.80,-0.77,-9.84
1483137,LINACC,-0.07,0.04,-0.05
1483146,STAB,1483150,ACCEL,0.77,-0.77,-9.96
1483154,GYRO,0.01,0.03,-0.01
1483156,ROT,0.04,-0.01,-1.00,0.04
1483159,GAMEROT,0.05,-0.16,-0.98,0.03
1483166,MAGCAL,3.31,10.94,50.00
1483181,ACCEL,0.80,-0.73,-9.84
1483186,GRAV,0.80,-0.77,-9.84
1483188,LINACC,0.00,0.05,0.00
1483194,GYRO,0.00,0.02,0.00
1483196,ROT,0.04,-0.01,-1.00,0.04
1483199,GAMEROT,0.05,-0.16,-0.98,0.03
1483205,STAB,1483208,MAGCAL,4.31,9.25,51.38
1483213,ACCEL,0.84,-0.80,-9.73
1483234,GYRO,-0.01,-0.04,-0.02
1483236,ROT,0.04,-0.01,-1.00,0.04
1483239,GAMEROT,0.05,-0.16,-0.98,0.03
1483245,GRAV,0.80,-0.76,-9.84
1483247,LINACC,0.05,-0.05,0.11
1483249,MAGCAL,4.31,9.25,51.38
1483252,ACCEL,0.84,-0.77,-9.77
1483257,STAB,1483274,GYRO,0.01,-0.01,-0.01
1483276,ROT,0.04,-0.01,-1.00,0.04
1483279,GAMEROT,0.05,-0.16,-0.98,0.03
1483285,ACCEL,0.80,-0.77,-9.85
1483288,MAGCAL,3.56,10.25,50.44
1483295,GRAV,0.79,-0.77,-9.84
1483297,LINACC,0.02,0.00,-0.01
1483306,STAB,1483308,ACCEL,0.80,-0.80,-9.85
1483314,GYRO,0.01,-0.03,-0.02
1483316,ROT,0.04,-0.01,-1.00,0.04
1483319,GAMEROT,0.05,-0.16,-0.98,0.03
1483326,MAGCAL,4.87,9.00,48.44
1483337,ACCEL,0.80,-0.80,-9.85
1483346,GRAV,0.78,-0.77,-9.84
1483348,LINACC,0.02,-0.04,-0.01
1483354,GYRO,0.02,-0.05,-0.00
1483356,ROT,0.04,-0.01,-1.00,0.04
1483359,GAMEROT,0.04,-0.16,-0.98,0.03
1483365,STAB,1483368,MAGCAL,4.12,8.94,49.94
1483370,ACCEL,0.80,-0.69,-9.80
1483394,GYRO,0.07,-0.14,0.04
1483396,ROT,0.04,-0.01,-1.00,0.04
1483399,GAMEROT,0.04,-0.16,-0.98,0.03
1483405,ACCEL,0.77,-0.61,-9.88
1483407,GRAV,0.73,-0.80,-9.84
1483409,LINACC,0.03,0.18,-0.05
1483413,MAGCAL,3.94,9.94,49.44
1483418,STAB,1483431,ACCEL,0.34,-0.92,-10.27
1483435,GYRO,0.08,-0.14,0.17
1483437,ROT,0.03,-0.01,-1.00,0.04
1483440,GAMEROT,0.04,-0.17,-0.98,0.04
1483447,MAGCAL,4.62,10.38,48.38
1483456,GRAV,0.66,-0.84,-9.84
1483458,LINACC,-0.32,-0.08,-0.43
1483463,ACCEL,0.61,-1.19,-10.11
1483468,STAB,1483474,GYRO,-0.05,0.03,0.03
1483476,ROT,0.03,-0.01,-1.00,0.04
1483479,GAMEROT,0.04,-0.17,-0.98,0.04
1483486,MAGCAL,3.87,8.94,49.56
1483497,ACCEL,0.34,-0.54,-10.61
1483506,GRAV,0.67,-0.88,-9.84
1483508,LINACC,-0.33,0.34,-0.77
1483514,GYRO,0.29,0.15,0.09
1483516,ROT,0.03,-0.01,-1.00,0.05
1483519,GAMEROT,0.04,-0.17,-0.98,0.04
1483525,MAGCAL,3.87,8.94,49.56
1483527,STAB,1483529,ACCEL,0.38,-0.08,-10.57
1483554,GYRO,1.25,-1.72,-0.18
1483556,ROT,0.02,-0.01,-1.00,0.06
1483559,GAMEROT,0.03,-0.17,-0.98,0.06
1483564,ACCEL,0.77,-1.34,-9.23
1483566,GRAV,0.27,-1.30,-9.81
1483568,LINACC,0.49,-0.04,0.58
1483571,MAGCAL,3.56,8.13,52.00
1483585,STAB,1483590,ACCEL,-0.27,-5.48,-7.32
1483594,GYRO,-0.08,-5.45,-2.94
1483596,ROT,0.05,-0.03,0.99,-0.08
1483599,GAMEROT,0.04,0.13,0.99,-0.09
1483605,MAGCAL,2.31,5.50,55.13
1483616,GRAV,-2.07,-1.69,-9.53
1483618,LINACC,1.80,-3.79,2.21
1483620,ACCEL,-1.88,-2.22,-7.66
1483626,STAB,1483634,GYRO,0.50,-8.07,-2.40
1483636,ROT,0.19,-0.09,0.97,-0.08
1483639,GAMEROT,0.17,0.06,0.98,-0.11
1483645,MAGCAL,-7.94,-2.44,70.19
1483656,ACCEL,-6.02,0.30,-10.99
1483666,GRAV,-4.69,-2.40,-8.38
1483668,LINACC,-1.33,2.70,-2.62
1483674,GYRO,1.18,-2.08,-0.56
1483676,ROT,0.27,-0.13,0.95,-0.10
1483679,GAMEROT,0.25,0.03,0.96,-0.14
1483684,ACCEL,-4.52,0.61,-9.27
1483687,STAB,1483690,MAGCAL,-18.94,-7.87,79.44
1483712,ACCEL,-3.37,-4.10,-5.75
1483716,GYRO,0.66,-1.49,-0.72
1483718,ROT,0.31,-0.15,0.93,-0.13
1483721,GAMEROT,0.28,0.00,0.94,-0.18
1483726,GRAV,-5.38,-3.35,-7.59
1483728,LINACC,2.01,-0.75,1.85
1483731,MAGCAL,-23.37,-8.13,78.62
1483746,STAB,1483748,ACCEL,-6.09,-3.68,-7.32
1483755,GYRO,0.08,-0.60,0.64
1483757,ROT,0.33,-0.14,0.93,-0.13
1483760,GAMEROT,0.30,0.01,0.94,-0.18
1483766,MAGCAL,-24.87,-10.06,80.81
1483777,ACCEL,-5.48,-4.83,-7.63
