timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,12
706058,-5.98,-4.09,6.93,0.04,0.02,0.00,43.56,14.06,1.94,-0.07,-0.00,0.09,-5.91,-4.09,6.84,0.89,-0.13,0.37,-0.24,12
706098,-5.91,-4.02,6.77,0.04,-0.00,-0.01,45.25,16.50,2.44,0.00,0.06,-0.07,-5.91,-4.08,6.84,0.89,-0.13,0.37,-0.24,12
706138,-5.87,-3.98,6.74,0.00,0.00,-0.01,44.44,14.44,1.38,0.04,0.10,-0.11,-5.91,-4.08,6.85,0.89,-0.13,0.37,-0.24,12
706178,-5.83,-4.02,6.82,-0.02,0.01,-0.03,44.56,14.69,2.44,0.14,0.00,0.02,-5.97,-4.02,6.79,0.89,-0.13,0.37,-0.24,12
706218,-5.91,-4.13,6.93,0.03,-0.00,-0.04,43.25,14.56,2.62,0.04,-0.11,0.14,-5.95,-4.02,6.79,0.89,-0.13,0.37,-0.24,12
706259,-5.95,-4.21,6.93,0.04,-0.00,-0.04,44.19,14.62,2.75,0.00,-0.18,0.12,-5.95,-4.03,6.81,0.89,-0.13,0.37,-0.25,12
706298,-6.06,-4.09,6.74,0.00,0.00,-0.02,45.62,15.31,2.88,-0.13,-0.04,-0.08,-5.93,-4.05,6.82,0.89,-0.13,0.37,-0.25,12
706339,-6.10,-4.13,6.89,0.05,-0.01,0.03,43.31,14.88,2.62,-0.16,-0.08,0.07,-5.95,-4.05,6.82,0.89,-0.13,0.37,-0.25,12
706379,-6.02,-4.13,6.86,0.05,-0.00,0.05,44.06,14.69,2.00,-0.06,-0.09,0.02,-5.96,-4.04,6.84,0.89,-0.13,0.37,-0.25,12
706418,-5.95,-4.25,7.04,0.84,0.12,0.38,45.56,14.75,2.94,0.06,-0.34,0.16,-6.01,-3.91,6.88,0.89,-0.12,0.37,-0.25,12
706459,-5.98,-3.71,7.16,1.05,0.05,0.26,44.06,14.69,1.62,0.11,-0.18,0.14,-6.09,-3.53,7.02,0.89,-0.10,0.37,-0.25,12
706499,-5.95,-3.29,6.54,0.45,-0.05,0.10,43.50,12.88,2.44,0.17,0.00,-0.58,-6.12,-3.29,7.12,0.89,-0.08,0.37,-0.25,12
706539,-5.95,-3.29,6.66,0.07,0.07,0.03,44.31,14.12,1.38,0.18,-0.09,-0.50,-6.12,-3.20,7.16,0.89,-0.08,0.37,-0.25,12
706579,-5.95,-3.09,6.85,-0.08,0.07,-0.03,44.50,12.38,1.06,0.20,0.12,-0.27,-6.15,-3.22,7.12,0.89,-0.08,0.37,-0.25,12
706620,-6.25,-3.21,7.39,0.39,0.02,0.06,43.88,13.50,1.69,-0.09,-0.06,0.25,-6.16,-3.15,7.14,0.89,-0.07,0.37,-0.25,12
706659,-6.25,-2.83,6.85,0.11,0.00,-0.01,45.38,13.88,2.62,-0.08,0.26,-0.32,-6.17,-3.09,7.17,0.89,-0.07,0.37,-0.25,12
706700,-6.25,-3.06,7.00,0.22,0.00,0.07,46.56,12.81,2.06,-0.08,-0.04,-0.19,-6.17,-3.02,7.20,0.89,-0.07,0.37,-0.25,12
706739,-6.25,-2.94,7.08,-0.03,-0.00,0.02,44.44,14.44,1.38,-0.08,0.05,-0.13,-6.17,-2.99,7.21,0.89,-0.06,0.37,-0.25,12
706780,-6.14,-2.94,7.16,-0.09,-0.05,-0.04,44.06,12.38,1.44,0.03,0.07,-0.05,-6.16,-3.02,7.20,0.89,-0.07,0.36,-0.25,12
706820,-6.14,-3.02,7.20,-0.11,-0.03,-0.05,45.75,13.38,2.25,0.02,0.04,0.00,-6.16,-3.06,7.20,0.89,-0.07,0.36,-0.25,12
706860,-6.14,-3.06,7.24,-0.11,-0.02,-0.04,44.75,13.25,2.19,0.00,0.05,0.05,-6.14,-3.11,7.19,0.89,-0.07,0.37,-0.25,12
706900,-6.14,-3.17,7.23,-0.16,-0.02,-0.05,45.44,13.06,0.81,-0.00,-0.01,0.06,-6.13,-3.16,7.17,0.89,-0.07,0.37,-0.25,12
